Customer ID,frequency,recency,T,monetary_value,pred_purchases_4w,exp_avg_profit,clv_4w
12347.0,6.0,52.0,52.0,599.7016666666667,0.4570742525279483,618.6078182694047,1198.43747974734
12348.0,3.0,40.0,51.0,301.48,0.23949864683043037,321.72928300910576,326.5930025554795
12352.0,6.0,37.0,42.0,368.25666666666666,0.5608310079227983,380.1081234021779,903.5504134310355
12356.0,2.0,43.0,46.0,269.90500000000003,0.18117685592896718,298.19009424153097,228.986116357482
12358.0,1.0,21.0,21.0,683.2,0.20414227310188807,835.0504636536706,722.5349979159444
12359.0,3.0,39.0,47.0,1920.8433333333335,0.259028639249315,2042.9162150855498,2242.9085165449783
12360.0,2.0,21.0,28.0,789.24,0.28969313369490685,868.0978000359664,1065.9088735665089
12362.0,8.0,42.0,42.0,593.39125,0.7424325833182499,607.3204580926849,1911.1208690934097
12363.0,1.0,19.0,34.0,252.9,0.13053125784555814,311.90410816671414,172.56345935401362
12364.0,3.0,15.0,16.0,229.7266666666667,0.7038366239470799,245.46418726185215,732.2733353473496
12370.0,2.0,44.0,51.0,838.835,0.16410160783566244,922.5223481000774,641.6570234484493
12371.0,1.0,2.0,8.0,360.0,0.4681395284504664,442.1132057094821,877.2472611207072
12372.0,2.0,32.0,42.0,449.41,0.19762785714684727,495.1752439592086,414.78238671907764
12375.0,1.0,13.0,14.0,227.20000000000002,0.2931624674774246,280.6587878413254,348.73877197541054
12377.0,1.0,5.0,50.0,626.6,0.09040637559954912,766.2378126646821,293.6133911251387
12379.0,1.0,13.0,24.0,392.4,0.18063444345557136,481.50419320141185,368.64967830373644
12380.0,3.0,23.0,26.0,705.7533333333332,0.4529366707738528,751.4228323177747,1442.5640039128139
12381.0,3.0,17.0,17.0,192.18999999999997,0.666894631276061,205.56726060525898,581.0645628336194
12383.0,4.0,24.0,50.0,312.46,0.32094526635506015,327.9217155785536,446.08166430115045
12384.0,1.0,13.0,17.0,292.58000000000004,0.24700101629371415,360.1459101321393,377.0426227655744
12386.0,1.0,4.0,52.0,143.0,0.0870606782090295,178.2908512110634,65.79067236807776
12388.0,5.0,44.0,46.0,469.872,0.43090381446771736,487.92059102626126,891.1333669675396
12393.0,2.0,37.0,47.0,471.55,0.1774833250080534,519.4712313397796,390.77995424166846
12394.0,1.0,22.0,31.0,891.4,0.14237904415561425,1088.1740314258861,656.6858387332327
12395.0,10.0,50.0,53.0,267.253,0.7394035024675468,272.45324949273356,853.8600920146642
12397.0,1.0,14.0,19.0,1195.09,0.22353572134848992,1457.3915928895947,1380.8179188058105
12399.0,3.0,20.0,37.0,273.53333333333336,0.32535698266801943,292.02536389989024,402.7114019805408
12406.0,1.0,23.0,26.0,1794.05,0.16775643617235533,2185.5899221539858,1554.036057185759
12407.0,4.0,31.0,38.0,370.455,0.41710268487002844,388.6093790748945,687.0201641238729
12408.0,3.0,33.0,37.0,683.6533333333333,0.3253569827449057,727.933211171055,1003.8408998906737
12409.0,1.0,15.0,26.0,4865.59,0.16775616698676385,5919.879851813308,4209.248902836756
12412.0,2.0,14.0,24.0,356.19,0.33417152795474453,392.8775048617912,556.4675293884576
12413.0,2.0,39.0,48.0,139.425,0.17393738042392018,155.00398613778688,114.27441646798525
12414.0,2.0,13.0,44.0,204.325,0.18904513344349236,226.2239310790268,181.2663822401953
12415.0,13.0,45.0,48.0,9069.473076923077,1.0530146783901826,9195.28838203885,41040.53367321707
12417.0,8.0,51.0,51.0,419.72,0.6164838418340508,429.7089676105246,1122.8179208048196
12421.0,3.0,43.0,45.0,216.53,0.2700388403012165,231.43773023019844,264.8949116362162
12422.0,2.0,33.0,46.0,282.53,0.1811768559138394,312.04451342308954,239.6252009483934
12423.0,7.0,50.0,50.0,231.6257142857143,0.5514818270413129,238.18583176318256,556.7501599357959
12427.0,2.0,50.0,53.0,261.15,0.158139965275008,288.58253464275504,193.4304771006503
12428.0,6.0,37.0,40.0,497.8733333333334,0.5875039171532613,513.6756467865978,1279.1249301179214
12429.0,3.0,51.0,52.0,822.9666666666667,0.23506779295464952,876.0063976274666,872.7977701869626
12431.0,12.0,48.0,53.0,505.14166666666665,0.8847193867537481,513.0333236032315,1923.8195760106394
